LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/min),(pixel/min),(pixel),(min),(pixel),(pixel),(pixel),
ID3170 → ID3424,216,3170,3424,21.069249242549052,0.1470982729984515,4.590125188112962,4.590125188112962,4.5,193.23356135710264,424.7049027888919,0.0,
ID8014 → ID8283,216,8014,8283,2.389715027501553,0.9544774930407641,1.5458703139337249,1.5458703139337249,24.5,186.55532859916485,406.5870357810935,0.0,
ID17408 → ID17673,216,17408,17673,1.492097793030591,2.6593192793286047,1.221514548841147,1.221514548841147,59.5,160.6218579537078,400.47667882942653,0.0,
ID4738 → ID4963,216,4738,4963,0.3348470665269718,1.3518700158078432,0.5786597156593604,0.5786597156593604,11.5,184.1644274110769,412.2152346364975,0.0,
ID15103 → ID15328,216,15103,15328,1.6627683361641525,0.392728145786448,1.2894837479255614,1.2894837479255614,51.5,171.4524419413778,400.9967021806869,0.0,
ID8283 → ID8544,216,8283,8544,4.063457789731105,0.04683402262455157,2.0158020214622034,2.0158020214622034,25.5,185.62695452864088,405.06789438455576,0.0,
ID4963 → ID5289,216,4963,5289,0.6987032188079463,0.8568530931983912,0.8358846922919131,0.8358846922919131,12.5,184.52582470457875,411.68030921413913,0.0,
ID20542 → ID20751,216,20542,20751,0.21913918379590125,2.8219962741632028,0.46812304343612615,0.46812304343612615,71.5,197.183711374096,408.4773504273504,0.0,
ID24323 → ID24645,216,24323,24645,2.7291653042878545,1.000938293840332,1.6520185544623445,1.6520185544623445,84.5,198.81912185781792,406.18849901335625,0.0,
ID7752 → ID8014,216,7752,8014,1.7137022102881936,2.710759795817472,1.309084493181473,1.309084493181473,23.5,187.629702691278,407.2626483020995,0.0,
ID11708 → ID11959,216,11708,11959,21.839789133228493,2.129516828472045,4.673306017502865,4.673306017502865,38.5,179.8603344606462,404.100161821573,0.0,
ID2215 → ID2415,216,2215,2415,2.8547298811911723,NaN,1.6895945907794485,1.6895945907794485,0.5,190.73255066837768,429.80003041819384,0.0,
ID12819 → ID13068,216,12819,13068,16.506149511787967,0.02627776365495369,4.062776084377278,4.062776084377278,42.5,181.0443021718661,400.7051337506938,0.0,
ID15582 → ID15921,216,15582,15921,2.08320231300587,1.9869538380979281,1.443330285487653,1.443330285487653,53.5,171.51082776853224,399.36556415137244,0.0,
ID3700 → ID4032,216,3700,4032,1.3067129308483292,0.04066387557997787,1.1431154494837035,1.1431154494837035,7.5,187.7755750259453,419.07052173939064,0.0,
ID13639 → ID13890,216,13639,13890,30.224851802472518,0.14087734542061547,5.497713324871762,5.497713324871762,45.5,170.08477883753574,400.3957793719129,0.0,
ID10136 → ID10261,216,10136,10261,1.5940154362854289,0.3898914436912092,1.2625432413527184,1.2625432413527184,32.5,185.2677025129323,404.2666267460114,0.0,
ID14151 → ID14357,216,14151,14357,1.361775380166333,1.485825165564276,1.1669513186788611,1.1669513186788611,47.5,166.99790016352642,403.5385307102023,0.0,
ID8544 → ID8783,216,8544,8783,7.612567936462594,1.6482425376394032,2.7590882436889537,2.7590882436889537,26.5,186.36070669800478,403.5963441169226,0.0,
ID22936 → ID23211,216,22936,23211,1.6148949048433072,0.8845402995444737,1.2707851529048124,1.2707851529048124,79.5,196.92270227905243,414.46720672248387,0.0,
ID16230 → ID16526,216,16230,16526,1.4333431940961683,0.06363288553735723,1.1972231179258812,1.1972231179258812,55.5,171.2193831371457,399.5037138342544,0.0,
ID21139 → ID21438,216,21139,21438,10.146737522297686,0.15177311938350477,3.1853944060818726,3.1853944060818726,73.5,196.49726613166212,411.5498934036538,0.0,
ID14901 → ID15103,216,14901,15103,3.8054143058120022,1.0341899787622773,1.9507471147773108,1.9507471147773108,50.5,171.22867229769213,402.5711698043876,0.0,
ID10794 → ID11212,216,10794,11212,8.130400215579925,0.28820313081706606,2.8513856658789467,2.8513856658789467,35.5,181.01701353055842,404.6244983373466,0.0,
ID22035 → ID22352,216,22035,22352,5.604308061523457,2.1702149689916337,2.367341982376745,2.367341982376745,76.5,196.1723800260133,414.6136580867883,0.0,
ID12255 → ID12537,216,12255,12537,3.7006884128016244,1.3867711088770602,1.9237173422313436,1.9237173422313436,40.5,182.8851154450419,402.1904895722671,0.0,
ID6782 → ID7025,216,6782,7025,24.83146069088142,0.2676523407246331,4.983117567435212,4.983117567435212,19.5,184.28670043587,406.87861781993786,0.0,
